PosX,PosY,Height,Heading
-1828.58,-2823.35,13.95,155.0
-1025.97,-2223.62,8.99,224.96
850.42,2197.69,51.93,243.19
42.61,2803.45,57.88,145.49
-1193.54,-2155.4,13.2,138.82
-1184.37,-2185.67,13.2,336.13
2041.76,3172.26,44.98,155.2
-477.44,-2166.87,9.59,121.48
-3189.8,1078.75,20.85,154.85
-433.69,-2277.29,7.61,268.97
-395.18,-2182.97,10.29,94.54
-3029.7,591.68,7.79,199.33
-1007.29,-3021.72,13.95,65.31
-61.32,-1832.75,26.8,227.87
822.72,-2134.28,29.29,349.36
942.22,-2487.76,28.34,89.41
279.31,-2078.18,16.83,28.94
783.08,-2523.98,20.51,5.67
720.61,-2128.76,29.22,87.12
787.05,-1612.38,31.17,48.33
913.52,-1556.87,30.74,272.14
777.64,-2529.46,20.13,96.09
843.82,-2474.47,25.3,87.54
711.79,-1395.19,26.35,103.31
716.65,-1284.86,26.06,269.96
983.0,-1230.77,25.38,121.4
818.01,-2422.85,23.6,174.28
885.53,-1166.38,24.99,94.77
700.85,-1106.93,22.47,163.11
882.26,-2384.1,28.0,179.16
1003.55,-1860.27,30.89,268.33
-1138.73,-759.77,18.87,234.36
938.71,-1154.36,25.38,178.46
973.0,-1156.18,25.43,267.36
689.41,-963.48,23.49,178.61
140.72,-375.29,43.26,336.19
-497.09,-62.13,39.96,353.27
-606.34,187.43,70.01,270.65
117.12,-356.15,42.59,252.09
53.91,-1571.07,29.47,137.1
1528.1,1719.32,109.97,34.6
1301.0,1429.24,100.17,356.49
1145.76,-287.73,68.96,284.29
-441.96,-1704.7,18.89,250.12
874.28,-949.16,26.29,358.46
829.28,-874.08,25.26,270.18
725.37,-874.53,24.67,265.96
693.66,-1090.43,22.45,174.62
1210.33,-1076.89,39.96,304.44
945.1,-1163.54,25.68,270.98
911.7,-1258.04,25.58,33.69
847.06,-1397.72,26.14,151.79
852.32,-1393.03,26.14,151.28
130.47,-1066.12,29.2,160.09
-52.79,-1078.65,26.93,67.2
-200.91,-1099.13,22.95,155.83
-621.47,-1106.05,22.18,1.07
-668.65,-1182.07,10.62,208.79
-99.52,-956.69,29.28,249.37
-1359.83,-1144.35,4.26,6.03
-1190.55,-2057.76,14.33,4.39
-1169.18,-1768.78,3.87,306.82
-1320.49,-765.64,20.39,216.94
-1532.84,-578.16,33.63,304.2
-1461.4,-362.39,43.89,219.06
-1457.25,-384.15,38.51,114.12
-1544.42,-411.45,41.99,226.04
-1432.72,-250.32,46.37,130.83
-1040.24,-499.88,36.07,118.78
346.43,-1107.19,29.41,177.11
523.99,-2112.7,5.99,182.08
977.19,-2539.34,28.31,353.75,357.42
1101.01,-2405.39,30.76,259.61
1591.9,-1714.0,88.16,120.75
1693.41,-1497.45,113.05,66.92
1029.44,-2501.31,28.43,149.34
2492.55,-320.89,93.0,82.83
2846.31,1463.1,24.56,74.93
3631.05,3768.61,28.52,320.0
3572.5,3665.53,33.9,75.93
2919.03,4337.85,50.31,203.77
2521.47,4203.47,39.95,327.93
2926.2,4627.28,48.55,143.26
3808.59,4463.22,4.37,87.61
2802.35,4838.31,44.99,118.49
2133.06,4789.57,40.98,26.62
1900.83,4913.82,48.87,154.21
381.06,3591.37,33.3,82.49
642.8,3502.47,34.09,95.04
277.33,2884.71,43.61,296.91
-60.3,1961.45,190.19,294.86
225.63,1244.33,225.46,194.24
-513.24,5257.73,80.62,159.3
-519.96,5243.84,79.95,72.76
-602.87,5326.63,70.46,168.65
-797.95,5400.61,34.24,86.78
-776.0,5579.11,33.49,167.58
-704.2,5772.55,17.34,68.44
-299.24,6300.27,31.5,134.2
402.52,6619.61,28.26,357.71
-247.72,6205.46,31.49,45.5
-326.49,6104.64,31.49,46.83
-64.73,6553.21,31.5,41.71
2204.73,5574.04,53.74,351.31
1638.98,4840.41,42.03,185.92
1961.26,4640.93,40.71,293.6
1776.61,4584.67,37.65,181.45
114.13,307.84,111.27,64.91
607.49,165.2,98.24,341.06
212.28,2789.95,45.66,276.37
708.58,-295.1,59.19,277.93
581.28,2799.43,42.1,1.52
1296.73,1424.35,100.45,178.89
955.85,-22.89,78.77,147.51}
